int(self),prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,self.nb_predators,self.nb_preys
0,0.1,0.55,0.3,0.1,1,40
1,0.1,0.55,0.3,0.1,1,23
2,0.05,0.55,0.3,0.1,1,30
3,0.05,0.55,0.3,0.1,0,16
4,0.15,0.55,0.3,0.1,3,97
5,0.15,0.55,0.3,0.1,0,9
6,0.1,0.5,0.3,0.1,0,2
7,0.1,0.5,0.3,0.1,1,159
8,0.1,0.6,0.3,0.1,0,29
9,0.1,0.6,0.3,0.1,0,19
10,0.1,0.55,0.2,0.1,2,8
11,0.1,0.55,0.2,0.1,4,143
12,0.1,0.55,0.4,0.1,2,59
13,0.1,0.55,0.4,0.1,2,118
14,0.1,0.55,0.3,0.2,4,15
15,0.1,0.55,0.3,0.2,0,26
16,0.05,0.55,0.3,0.2,0,29
17,0.05,0.55,0.3,0.2,0,22
18,0.15,0.55,0.3,0.2,1,83
19,0.15,0.55,0.3,0.2,1,11
20,0.1,0.5,0.3,0.2,0,7
21,0.1,0.5,0.3,0.2,0,0
22,0.1,0.6,0.3,0.2,0,13
23,0.1,0.6,0.3,0.2,0,81
24,0.1,0.55,0.2,0.2,1,90
25,0.1,0.55,0.2,0.2,0,14
26,0.1,0.55,0.4,0.2,2,25
27,0.1,0.55,0.4,0.2,1,96
28,0.1,0.55,0.3,0.3,5,51
29,0.1,0.55,0.3,0.3,0,6
30,0.05,0.55,0.3,0.3,0,29
31,0.05,0.55,0.3,0.3,0,4
32,0.15,0.55,0.3,0.3,2,15
33,0.15,0.55,0.3,0.3,0,102
34,0.1,0.5,0.3,0.3,1,37
35,0.1,0.5,0.3,0.3,2,55
36,0.1,0.6,0.3,0.3,2,48
37,0.1,0.6,0.3,0.3,0,143
38,0.1,0.55,0.2,0.3,1,36
39,0.1,0.55,0.2,0.3,0,0
40,0.1,0.55,0.4,0.3,1,61
41,0.1,0.55,0.4,0.3,0,0
42,0.1,0.55,0.3,0.4,7,56
43,0.1,0.55,0.3,0.4,0,3
44,0.05,0.55,0.3,0.4,0,28
45,0.05,0.55,0.3,0.4,0,19
46,0.15,0.55,0.3,0.4,0,10
47,0.15,0.55,0.3,0.4,0,0
48,0.1,0.5,0.3,0.4,0,171
49,0.1,0.5,0.3,0.4,0,6
50,0.1,0.6,0.3,0.4,0,147
51,0.1,0.6,0.3,0.4,0,108
52,0.1,0.55,0.2,0.4,0,60
53,0.1,0.55,0.2,0.4,7,89
54,0.1,0.55,0.4,0.4,0,54
55,0.1,0.55,0.4,0.4,0,50
56,0.1,0.55,0.3,0.5,1,77
57,0.1,0.55,0.3,0.5,1,29
58,0.05,0.55,0.3,0.5,8,5
59,0.05,0.55,0.3,0.5,0,16
60,0.15,0.55,0.3,0.5,0,0
61,0.15,0.55,0.3,0.5,1,11
62,0.1,0.5,0.3,0.5,0,0
63,0.1,0.5,0.3,0.5,0,1
64,0.1,0.6,0.3,0.5,2,81
65,0.1,0.6,0.3,0.5,2,120
66,0.1,0.55,0.2,0.5,0,95
67,0.1,0.55,0.2,0.5,3,121
