cycle: 0; nbPreys: 500; minEnergyPreys: 3.149898503237436E-4; maxSizePreys: 0.9979311999408474; nbPredators: 10; minEnergyPredators: 0.09229798263599798; maxSizePredators: 0.978597470007987
cycle: 1; nbPreys: 507; minEnergyPreys: 0.048354205536598235; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.572297982635998; maxSizePredators: 1.0
cycle: 2; nbPreys: 520; minEnergyPreys: 0.09737381337973547; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.5522979826359979; maxSizePredators: 1.0
cycle: 3; nbPreys: 517; minEnergyPreys: 0.14737381337973543; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.98; maxSizePredators: 1.0
cycle: 4; nbPreys: 519; minEnergyPreys: 0.1365450028088568; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.96; maxSizePredators: 1.0
cycle: 5; nbPreys: 521; minEnergyPreys: 0.08948617927944505; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.96; maxSizePredators: 1.0
cycle: 6; nbPreys: 523; minEnergyPreys: 0.04438814006375877; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.98; maxSizePredators: 1.0
cycle: 7; nbPreys: 520; minEnergyPreys: 0.0024247778331372176; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.32666666666666666; maxSizePredators: 1.0
cycle: 8; nbPreys: 529; minEnergyPreys: 0.020201892920890425; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.30666666666666664; maxSizePredators: 1.0
cycle: 9; nbPreys: 531; minEnergyPreys: 0.027450980392156828; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.2866666666666666; maxSizePredators: 1.0
cycle: 10; nbPreys: 535; minEnergyPreys: 0.0018655479832588966; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.2666666666666666; maxSizePredators: 1.0
cycle: 11; nbPreys: 533; minEnergyPreys: 0.036274509803921454; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.24666666666666662; maxSizePredators: 1.0
cycle: 12; nbPreys: 533; minEnergyPreys: 9.803921568627017E-4; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.22666666666666663; maxSizePredators: 1.0
cycle: 13; nbPreys: 526; minEnergyPreys: 0.017254901960784264; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.20666666666666664; maxSizePredators: 1.0
cycle: 14; nbPreys: 514; minEnergyPreys: 0.019762221401495653; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
cycle: 15; nbPreys: 511; minEnergyPreys: 0.02483394780152372; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.16666666666666666; maxSizePredators: 1.0
cycle: 16; nbPreys: 528; minEnergyPreys: 7.843137254901072E-4; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.14666666666666667; maxSizePredators: 1.0
cycle: 17; nbPreys: 539; minEnergyPreys: 0.023329105989983195; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.6266666666666665; maxSizePredators: 1.0
cycle: 18; nbPreys: 536; minEnergyPreys: 0.0011243991656474913; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.6066666666666665; maxSizePredators: 1.0
cycle: 19; nbPreys: 539; minEnergyPreys: 4.901960784310542E-4; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.5866666666666664; maxSizePredators: 1.0
cycle: 20; nbPreys: 547; minEnergyPreys: 0.0017647058823527413; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.5666666666666664; maxSizePredators: 1.0
cycle: 21; nbPreys: 529; minEnergyPreys: 0.009925272668022591; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.5466666666666664; maxSizePredators: 1.0
cycle: 22; nbPreys: 516; minEnergyPreys: 6.041221551400912E-4; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.5266666666666664; maxSizePredators: 1.0
cycle: 23; nbPreys: 509; minEnergyPreys: 0.0017846952441162457; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.5066666666666664; maxSizePredators: 1.0
cycle: 24; nbPreys: 499; minEnergyPreys: 5.672545766444159E-16; maxSizePreys: 0.9715686274509804; nbPredators: 13; minEnergyPredators: 0.48666666666666636; maxSizePredators: 1.0
cycle: 25; nbPreys: 480; minEnergyPreys: 3.365363543395006E-16; maxSizePreys: 0.9431372549019607; nbPredators: 13; minEnergyPredators: 0.46666666666666634; maxSizePredators: 1.0
cycle: 26; nbPreys: 467; minEnergyPreys: 1.214306433183765E-17; maxSizePreys: 0.9156862745098037; nbPredators: 13; minEnergyPredators: 0.8399999999999999; maxSizePredators: 1.0
cycle: 27; nbPreys: 441; minEnergyPreys: 0.0023529411764706028; maxSizePreys: 0.8686274509803918; nbPredators: 13; minEnergyPredators: 0.8999999999999999; maxSizePredators: 1.0
cycle: 28; nbPreys: 431; minEnergyPreys: 0.0019999999999999584; maxSizePreys: 0.8364705882352939; nbPredators: 13; minEnergyPredators: 0.96; maxSizePredators: 1.0
cycle: 29; nbPreys: 412; minEnergyPreys: 3.642919299551295E-16; maxSizePreys: 0.8098039215686267; nbPredators: 14; minEnergyPredators: 0.94; maxSizePredators: 1.0
cycle: 30; nbPreys: 396; minEnergyPreys: 0.0032075066139509957; maxSizePreys: 0.7762745098039212; nbPredators: 14; minEnergyPredators: 0.9199999999999999; maxSizePredators: 1.0
cycle: 31; nbPreys: 374; minEnergyPreys: 0.0024205089826619397; maxSizePreys: 0.7490196078431368; nbPredators: 14; minEnergyPredators: 0.8999999999999999; maxSizePredators: 1.0
cycle: 32; nbPreys: 364; minEnergyPreys: 0.001113328466126197; maxSizePreys: 0.7217647058823524; nbPredators: 14; minEnergyPredators: 0.8799999999999999; maxSizePredators: 1.0
cycle: 33; nbPreys: 345; minEnergyPreys: 7.147060721024445E-16; maxSizePreys: 0.694509803921568; nbPredators: 14; minEnergyPredators: 0.8599999999999999; maxSizePredators: 1.0
cycle: 34; nbPreys: 330; minEnergyPreys: 0.008368811721969545; maxSizePreys: 0.6615686274509798; nbPredators: 14; minEnergyPredators: 0.8599999999999999; maxSizePredators: 1.0
cycle: 35; nbPreys: 314; minEnergyPreys: 2.7450980392148584E-4; maxSizePreys: 0.6299999999999997; nbPredators: 14; minEnergyPredators: 0.8399999999999999; maxSizePredators: 1.0
cycle: 36; nbPreys: 286; minEnergyPreys: 0.0021568627450979407; maxSizePreys: 0.6199999999999997; nbPredators: 16; minEnergyPredators: 0.5; maxSizePredators: 1.0
cycle: 37; nbPreys: 270; minEnergyPreys: 6.729173910458713E-5; maxSizePreys: 0.6099999999999997; nbPredators: 16; minEnergyPredators: 0.7999999999999998; maxSizePredators: 1.0
cycle: 38; nbPreys: 249; minEnergyPreys: 0.0011764705882349978; maxSizePreys: 0.5999999999999996; nbPredators: 16; minEnergyPredators: 0.7799999999999998; maxSizePredators: 1.0
cycle: 39; nbPreys: 220; minEnergyPreys: 0.0010784313725485124; maxSizePreys: 0.5899999999999996; nbPredators: 16; minEnergyPredators: 0.7599999999999998; maxSizePredators: 1.0
cycle: 40; nbPreys: 197; minEnergyPreys: 3.921568627449114E-4; maxSizePreys: 0.5799999999999996; nbPredators: 16; minEnergyPredators: 0.7399999999999998; maxSizePredators: 1.0
cycle: 41; nbPreys: 170; minEnergyPreys: 0.003333333333332942; maxSizePreys: 0.5699999999999996; nbPredators: 16; minEnergyPredators: 0.7199999999999998; maxSizePredators: 1.0
cycle: 42; nbPreys: 152; minEnergyPreys: 0.0014117647058822236; maxSizePreys: 0.5599999999999996; nbPredators: 16; minEnergyPredators: 0.6999999999999997; maxSizePredators: 1.0
cycle: 43; nbPreys: 140; minEnergyPreys: 0.015492424246336525; maxSizePreys: 0.5499999999999996; nbPredators: 18; minEnergyPredators: 0.5; maxSizePredators: 1.0
cycle: 44; nbPreys: 132; minEnergyPreys: 0.005296345814963965; maxSizePreys: 0.5299999999999996; nbPredators: 18; minEnergyPredators: 0.48; maxSizePredators: 1.0
cycle: 45; nbPreys: 122; minEnergyPreys: 7.865418933953247E-4; maxSizePreys: 0.5299999999999996; nbPredators: 18; minEnergyPredators: 0.6799999999999997; maxSizePredators: 1.0
cycle: 46; nbPreys: 108; minEnergyPreys: 0.001960784313724838; maxSizePreys: 0.5299999999999996; nbPredators: 19; minEnergyPredators: 0.6599999999999997; maxSizePredators: 1.0
cycle: 47; nbPreys: 101; minEnergyPreys: 3.9215686274443606E-4; maxSizePreys: 0.5299999999999996; nbPredators: 19; minEnergyPredators: 0.6399999999999997; maxSizePredators: 1.0
cycle: 48; nbPreys: 92; minEnergyPreys: 0.0013725490196077293; maxSizePreys: 0.5299999999999996; nbPredators: 22; minEnergyPredators: 0.3333333333333333; maxSizePredators: 1.0
cycle: 49; nbPreys: 85; minEnergyPreys: 0.005098039215686148; maxSizePreys: 0.5399999999999996; nbPredators: 22; minEnergyPredators: 0.3133333333333333; maxSizePredators: 1.0
cycle: 50; nbPreys: 74; minEnergyPreys: 0.00862745098039178; maxSizePreys: 0.5499999999999996; nbPredators: 22; minEnergyPredators: 0.2933333333333333; maxSizePredators: 1.0
cycle: 51; nbPreys: 61; minEnergyPreys: 0.012745098039215357; maxSizePreys: 0.5599999999999996; nbPredators: 25; minEnergyPredators: 0.18666666666666654; maxSizePredators: 1.0
cycle: 52; nbPreys: 52; minEnergyPreys: 0.01901960784313697; maxSizePreys: 0.5699999999999996; nbPredators: 25; minEnergyPredators: 0.16666666666666655; maxSizePredators: 1.0
cycle: 53; nbPreys: 49; minEnergyPreys: 0.0011764705882350082; maxSizePreys: 0.5899999999999996; nbPredators: 25; minEnergyPredators: 0.14666666666666656; maxSizePredators: 1.0
cycle: 54; nbPreys: 44; minEnergyPreys: 0.021960784313725293; maxSizePreys: 0.6099999999999997; nbPredators: 25; minEnergyPredators: 0.12666666666666657; maxSizePredators: 1.0
cycle: 55; nbPreys: 41; minEnergyPreys: 3.9215686274489403E-4; maxSizePreys: 0.6299999999999997; nbPredators: 25; minEnergyPredators: 0.10666666666666656; maxSizePredators: 1.0
cycle: 56; nbPreys: 36; minEnergyPreys: 0.003921568627450772; maxSizePreys: 0.6599999999999996; nbPredators: 25; minEnergyPredators: 0.08666666666666656; maxSizePredators: 1.0
cycle: 57; nbPreys: 33; minEnergyPreys: 0.010784313725489755; maxSizePreys: 0.5833333333333325; nbPredators: 25; minEnergyPredators: 0.06666666666666655; maxSizePredators: 1.0
cycle: 58; nbPreys: 30; minEnergyPreys: 0.005098039215685711; maxSizePreys: 0.6199999999999996; nbPredators: 25; minEnergyPredators: 0.04666666666666655; maxSizePredators: 1.0
cycle: 59; nbPreys: 28; minEnergyPreys: 0.003333333333332772; maxSizePreys: 0.6699999999999995; nbPredators: 25; minEnergyPredators: 0.02666666666666655; maxSizePredators: 1.0
cycle: 60; nbPreys: 25; minEnergyPreys: 0.01764705882352885; maxSizePreys: 0.7199999999999994; nbPredators: 27; minEnergyPredators: 0.00666666666666655; maxSizePredators: 1.0
cycle: 61; nbPreys: 25; minEnergyPreys: 0.03999999999999944; maxSizePreys: 0.7699999999999994; nbPredators: 23; minEnergyPredators: 0.07333333333333329; maxSizePredators: 0.98
cycle: 62; nbPreys: 24; minEnergyPreys: 0.03882352941176399; maxSizePreys: 0.8199999999999993; nbPredators: 23; minEnergyPredators: 0.05333333333333329; maxSizePredators: 1.0
cycle: 63; nbPreys: 23; minEnergyPreys: 0.025098039215685534; maxSizePreys: 0.8699999999999992; nbPredators: 23; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 64; nbPreys: 21; minEnergyPreys: 0.013333333333332559; maxSizePreys: 0.8623529411764692; nbPredators: 23; minEnergyPredators: 0.013333333333333284; maxSizePredators: 1.0
cycle: 65; nbPreys: 20; minEnergyPreys: 0.0035294117647050663; maxSizePreys: 0.9123529411764691; nbPredators: 21; minEnergyPredators: 0.2399999999999998; maxSizePredators: 1.0
cycle: 66; nbPreys: 22; minEnergyPreys: 0.05352941176470507; maxSizePreys: 0.9623529411764691; nbPredators: 21; minEnergyPredators: 0.2199999999999998; maxSizePredators: 1.0
cycle: 67; nbPreys: 20; minEnergyPreys: 0.10352941176470506; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 68; nbPreys: 19; minEnergyPreys: 0.15352941176470508; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.17999999999999983; maxSizePredators: 1.0
